Day,Houston Astros: (United States),Cleveland Guardians: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Kansas City Royals: (United States)
11/1/2017,61,1,<1,1,<1
11/2/2017,100,1,<1,1,<1
11/3/2017,17,1,<1,<1,<1
11/4/2017,7,<1,<1,<1,<1
11/5/2017,4,<1,<1,<1,<1
11/6/2017,2,<1,<1,<1,<1
11/7/2017,2,1,<1,<1,<1
11/8/2017,2,1,<1,<1,<1
11/9/2017,1,<1,<1,<1,<1
11/10/2017,1,<1,<1,<1,<1
11/11/2017,1,1,<1,<1,<1
11/12/2017,1,1,<1,<1,<1
11/13/2017,1,<1,<1,<1,<1
11/14/2017,1,1,<1,<1,<1
11/15/2017,1,1,<1,<1,<1
11/16/2017,1,1,<1,<1,<1
11/17/2017,1,<1,<1,<1,<1
11/18/2017,1,<1,<1,<1,<1
11/19/2017,1,<1,<1,<1,<1
11/20/2017,1,<1,<1,<1,<1
11/21/2017,1,<1,<1,<1,<1
11/22/2017,1,<1,<1,<1,<1
11/23/2017,1,1,<1,<1,<1
11/24/2017,1,<1,<1,<1,<1
11/25/2017,1,<1,<1,<1,<1
11/26/2017,1,<1,<1,<1,<1
11/27/2017,1,<1,<1,<1,<1
11/28/2017,1,<1,<1,<1,<1
11/29/2017,1,<1,<1,<1,<1
11/30/2017,1,<1,<1,<1,<1
12/1/2017,1,<1,<1,<1,<1
12/2/2017,1,<1,<1,<1,<1
12/3/2017,1,<1,<1,<1,<1
12/4/2017,1,<1,<1,<1,<1
12/5/2017,1,<1,<1,<1,<1
12/6/2017,1,<1,<1,<1,<1
12/7/2017,1,<1,<1,<1,<1
12/8/2017,1,<1,<1,<1,<1
12/9/2017,1,1,<1,<1,<1
12/10/2017,1,1,<1,<1,<1
12/11/2017,1,<1,<1,<1,<1
12/12/2017,1,1,<1,<1,<1
12/13/2017,1,1,<1,<1,<1
12/14/2017,1,1,<1,1,<1
12/15/2017,1,1,<1,<1,<1
12/16/2017,1,1,<1,<1,<1
12/17/2017,1,1,<1,<1,<1
12/18/2017,1,<1,<1,<1,<1
12/19/2017,1,<1,<1,<1,<1
12/20/2017,1,1,<1,<1,<1
12/21/2017,1,1,<1,<1,<1
12/22/2017,1,<1,<1,<1,<1
12/23/2017,1,<1,<1,<1,<1
12/24/2017,1,<1,<1,<1,<1
12/25/2017,1,1,<1,<1,<1
12/26/2017,1,<1,<1,<1,<1
12/27/2017,1,<1,<1,<1,<1
12/28/2017,1,<1,<1,<1,<1
12/29/2017,1,<1,<1,<1,<1
12/30/2017,1,<1,<1,<1,<1
12/31/2017,1,<1,<1,<1,<1
1/1/2018,<1,<1,<1,<1,<1
1/2/2018,<1,<1,<1,<1,<1
1/3/2018,<1,<1,<1,<1,<1
1/4/2018,1,<1,<1,<1,<1
1/5/2018,1,<1,<1,<1,1
1/6/2018,1,<1,<1,<1,1
1/7/2018,1,<1,<1,<1,<1
1/8/2018,1,<1,<1,<1,<1
1/9/2018,1,<1,<1,<1,<1
1/10/2018,1,<1,<1,<1,<1
1/11/2018,1,<1,<1,<1,<1
1/12/2018,1,<1,<1,<1,<1
1/13/2018,1,<1,<1,<1,<1
1/14/2018,2,<1,<1,<1,<1
1/15/2018,1,<1,<1,<1,<1
1/16/2018,1,<1,<1,<1,<1
1/17/2018,1,<1,<1,<1,<1
1/18/2018,1,<1,<1,<1,<1
1/19/2018,1,<1,<1,<1,<1
1/20/2018,1,<1,<1,<1,<1
1/21/2018,1,<1,<1,<1,<1
1/22/2018,1,<1,<1,<1,<1
1/23/2018,1,<1,<1,<1,<1
1/24/2018,1,<1,<1,<1,<1
1/25/2018,1,<1,<1,<1,<1
1/26/2018,1,<1,<1,1,1
1/27/2018,1,<1,<1,1,1
1/28/2018,1,<1,<1,<1,<1
1/29/2018,<1,2,<1,<1,<1
1/30/2018,<1,2,<1,<1,1
1/31/2018,<1,1,<1,<1,<1
2/1/2018,1,1,<1,<1,<1
2/2/2018,<1,<1,<1,<1,<1
2/3/2018,1,<1,<1,<1,<1
2/4/2018,1,<1,<1,<1,<1
2/5/2018,1,<1,<1,<1,<1
2/6/2018,1,<1,<1,<1,<1
2/7/2018,1,<1,<1,<1,<1
2/8/2018,1,<1,<1,<1,<1
2/9/2018,1,<1,<1,<1,<1
2/10/2018,1,<1,<1,<1,<1
2/11/2018,1,<1,<1,<1,<1
2/12/2018,1,<1,<1,<1,<1
2/13/2018,1,<1,<1,<1,<1
2/14/2018,1,<1,<1,<1,<1
2/15/2018,1,<1,<1,<1,<1
2/16/2018,1,<1,<1,<1,1
2/17/2018,1,<1,<1,<1,1
2/18/2018,1,<1,<1,<1,1
2/19/2018,1,<1,<1,<1,1
2/20/2018,1,<1,<1,<1,1
2/21/2018,1,<1,<1,<1,<1
2/22/2018,1,1,<1,1,<1
2/23/2018,1,1,<1,1,1
2/24/2018,1,1,1,1,1
2/25/2018,1,1,<1,1,1
2/26/2018,1,1,<1,1,1
2/27/2018,1,1,<1,1,1
2/28/2018,1,1,<1,1,1
3/1/2018,1,1,<1,1,1
3/2/2018,1,1,<1,1,1
3/3/2018,1,1,<1,1,1
3/4/2018,1,1,<1,1,1
3/5/2018,1,1,<1,1,<1
3/6/2018,1,1,<1,1,1
3/7/2018,1,1,<1,1,1
3/8/2018,1,1,<1,1,1
3/9/2018,1,1,<1,1,1
3/10/2018,1,1,1,1,1
3/11/2018,1,1,1,1,1
3/12/2018,1,1,<1,1,1
3/13/2018,1,1,<1,1,1
3/14/2018,1,1,<1,1,1
3/15/2018,1,1,<1,1,1
3/16/2018,1,1,<1,1,1
3/17/2018,1,1,<1,1,1
3/18/2018,1,1,<1,1,1
3/19/2018,1,1,<1,1,1
3/20/2018,1,1,1,1,1
3/21/2018,1,1,<1,1,1
3/22/2018,1,1,<1,1,1
3/23/2018,1,1,1,1,1
3/24/2018,1,1,1,1,1
3/25/2018,1,1,1,1,1
3/26/2018,1,1,1,1,1
3/27/2018,2,1,1,1,1
3/28/2018,1,1,1,1,1
3/29/2018,6,2,1,4,4
3/30/2018,3,3,2,7,2
3/31/2018,6,3,2,3,1
4/1/2018,5,3,1,3,2
4/2/2018,5,2,1,2,1
4/3/2018,6,2,1,2,1
4/4/2018,8,3,1,1,1
4/5/2018,3,2,2,2,1
4/6/2018,2,4,5,2,1
4/7/2018,6,3,2,2,1
4/8/2018,7,3,3,2,2
4/9/2018,3,2,1,2,1
4/10/2018,4,2,1,2,2
4/11/2018,5,2,2,2,2
4/12/2018,2,2,2,2,1
4/13/2018,2,2,1,2,1
4/14/2018,6,4,2,2,2
4/15/2018,3,2,1,2,2
4/16/2018,5,1,1,1,1
4/17/2018,3,1,1,1,1
4/18/2018,3,2,1,2,2
4/19/2018,4,3,1,2,1
4/20/2018,2,1,1,2,1
4/21/2018,4,3,2,3,2
4/22/2018,5,2,3,2,1
4/23/2018,2,2,1,1,1
4/24/2018,3,2,1,1,1
4/25/2018,5,2,2,2,1
4/26/2018,2,2,1,2,1
4/27/2018,2,2,1,1,1
4/28/2018,3,3,1,2,2
4/29/2018,5,3,1,2,2
4/30/2018,2,1,1,1,1
5/1/2018,3,2,1,1,1
5/2/2018,4,3,1,2,2
5/3/2018,6,3,1,2,1
5/4/2018,2,3,1,1,1
5/5/2018,4,3,1,2,2
5/6/2018,4,3,2,2,2
5/7/2018,2,1,1,1,1
5/8/2018,2,1,1,2,1
5/9/2018,3,2,2,2,2
5/10/2018,2,1,1,1,1
5/11/2018,2,1,1,1,1
5/12/2018,4,3,2,3,2
5/13/2018,4,3,2,3,1
5/14/2018,2,1,1,1,1
5/15/2018,2,2,1,2,1
5/16/2018,2,2,1,2,2
5/17/2018,3,1,1,1,1
5/18/2018,2,1,1,2,1
5/19/2018,5,2,1,2,2
5/20/2018,3,2,1,3,3
5/21/2018,3,2,1,1,1
5/22/2018,2,1,1,1,1
5/23/2018,4,2,1,2,2
5/24/2018,2,3,1,1,1
5/25/2018,3,2,1,1,1
5/26/2018,4,3,2,3,2
5/27/2018,7,5,3,2,2
5/28/2018,4,3,2,2,1
5/29/2018,2,2,2,1,1
5/30/2018,3,2,2,2,2
