Day,New York Yankees: (United States),Milwaukee Brewers: (United States),Minnesota Twins: (United States),New York Mets: (United States),Philadelphia Phillies: (United States)
11/1/2018,13,3,2,4,2
11/2/2018,13,3,2,5,3
11/3/2018,15,3,2,5,4
11/4/2018,14,3,1,4,3
11/5/2018,12,3,1,5,3
11/6/2018,14,3,1,5,3
11/7/2018,14,2,1,4,3
11/8/2018,14,2,1,5,5
11/9/2018,14,3,1,5,5
11/10/2018,15,3,2,4,4
11/11/2018,15,2,1,4,3
11/12/2018,14,2,1,4,3
11/13/2018,14,2,1,5,3
11/14/2018,15,2,1,5,3
11/15/2018,14,2,1,5,3
11/16/2018,11,2,1,5,3
11/17/2018,17,2,1,5,3
11/18/2018,15,2,1,4,3
11/19/2018,19,2,1,5,3
11/20/2018,25,2,1,5,3
11/21/2018,20,2,1,6,3
11/22/2018,19,3,1,5,3
11/23/2018,16,2,1,5,3
11/24/2018,17,3,1,5,3
11/25/2018,17,2,1,5,3
11/26/2018,16,2,1,5,3
11/27/2018,18,2,2,7,4
11/28/2018,19,3,1,8,5
11/29/2018,20,3,1,12,4
11/30/2018,22,3,1,25,4
12/1/2018,21,3,1,14,4
12/2/2018,20,3,1,16,5
12/3/2018,17,3,1,12,11
12/4/2018,23,3,1,13,9
12/5/2018,21,3,1,14,7
12/6/2018,22,3,2,12,6
12/7/2018,21,3,2,10,7
12/8/2018,24,3,2,10,7
12/9/2018,21,3,1,9,6
12/10/2018,22,3,2,10,6
12/11/2018,36,4,2,19,11
12/12/2018,35,4,2,17,12
12/13/2018,33,4,2,17,10
12/14/2018,25,4,2,13,8
12/15/2018,24,4,2,12,7
12/16/2018,22,4,1,14,6
12/17/2018,19,3,2,14,6
12/18/2018,20,3,2,12,6
12/19/2018,23,3,2,11,7
12/20/2018,25,3,2,11,9
12/21/2018,24,4,2,10,9
12/22/2018,23,5,2,10,7
12/23/2018,23,4,2,10,5
12/24/2018,18,3,1,9,5
12/25/2018,19,3,1,8,5
12/26/2018,19,3,1,8,5
12/27/2018,19,4,3,8,5
12/28/2018,17,3,2,7,5
12/29/2018,20,3,2,7,5
12/30/2018,18,3,1,7,4
12/31/2018,18,3,2,6,4
1/1/2019,22,3,2,7,5
1/2/2019,26,3,2,7,6
1/3/2019,24,3,2,8,7
1/4/2019,21,4,2,7,7
1/5/2019,21,5,2,9,6
1/6/2019,24,4,2,10,6
1/7/2019,22,4,2,9,5
1/8/2019,19,4,2,8,6
1/9/2019,20,4,2,7,5
1/10/2019,20,7,2,8,7
1/11/2019,26,6,2,11,8
1/12/2019,24,5,2,9,10
1/13/2019,20,4,2,8,10
1/14/2019,20,4,2,7,10
1/15/2019,20,4,2,7,9
1/16/2019,22,4,2,8,9
1/17/2019,22,4,2,8,9
1/18/2019,23,4,2,7,8
1/19/2019,21,4,2,7,8
1/20/2019,22,4,2,7,7
1/21/2019,22,4,2,7,7
1/22/2019,20,5,2,7,7
1/23/2019,20,4,3,7,7
1/24/2019,19,4,3,7,7
1/25/2019,17,4,2,7,6
1/26/2019,19,4,2,7,6
1/27/2019,18,5,2,7,6
1/28/2019,16,3,2,7,7
1/29/2019,17,3,2,7,17
1/30/2019,17,4,2,7,10
1/31/2019,17,4,2,6,7
2/1/2019,17,4,2,6,6
2/2/2019,16,4,2,7,7
2/3/2019,17,4,2,6,6
2/4/2019,17,4,2,7,6
2/5/2019,17,4,2,7,7
2/6/2019,17,4,2,6,7
2/7/2019,18,4,2,7,14
2/8/2019,19,5,2,7,12
2/9/2019,22,5,2,7,9
2/10/2019,24,5,2,7,8
2/11/2019,19,4,2,7,8
2/12/2019,20,4,2,7,9
2/13/2019,20,4,2,7,11
2/14/2019,18,5,3,7,10
2/15/2019,19,4,2,8,10
2/16/2019,21,6,2,7,13
2/17/2019,20,5,3,8,19
2/18/2019,18,5,3,8,19
2/19/2019,20,5,3,8,17
2/20/2019,18,4,2,8,16
2/21/2019,18,4,3,8,18
2/22/2019,18,4,3,8,18
2/23/2019,24,7,4,13,21
2/24/2019,23,7,5,13,22
2/25/2019,21,5,4,9,19
2/26/2019,20,5,4,9,20
2/27/2019,18,4,3,9,19
2/28/2019,19,5,3,13,45
3/1/2019,18,5,4,16,39
3/2/2019,21,6,4,11,33
3/3/2019,21,6,5,11,23
3/4/2019,16,4,4,10,16
3/5/2019,18,4,4,10,15
3/6/2019,18,5,3,8,13
3/7/2019,18,5,3,9,12
3/8/2019,17,5,3,10,11
3/9/2019,20,6,4,10,19
3/10/2019,21,6,4,11,16
3/11/2019,16,5,4,9,12
3/12/2019,19,4,4,8,9
3/13/2019,20,5,4,8,11
3/14/2019,18,5,3,8,11
3/15/2019,18,5,4,8,10
3/16/2019,20,5,4,9,11
3/17/2019,24,6,5,10,12
3/18/2019,18,5,4,8,10
3/19/2019,20,6,4,9,11
3/20/2019,21,7,4,9,10
3/21/2019,17,7,3,9,11
3/22/2019,17,7,4,10,10
3/23/2019,22,8,5,11,12
3/24/2019,23,10,7,13,13
3/25/2019,19,8,5,12,12
3/26/2019,19,9,6,14,12
3/27/2019,23,10,7,14,15
3/28/2019,100,48,26,55,71
3/29/2019,46,20,14,18,31
3/30/2019,64,43,18,34,50
3/31/2019,79,50,17,33,48
4/1/2019,44,19,9,17,50
4/2/2019,46,25,8,27,30
4/3/2019,51,34,22,30,94
4/4/2019,48,14,10,48,22
4/5/2019,34,16,10,17,28
4/6/2019,42,54,24,31,71
4/7/2019,76,62,20,35,48
4/8/2019,34,16,8,16,23
4/9/2019,42,21,9,17,36
4/10/2019,46,22,15,23,45
4/11/2019,40,20,12,22,29
4/12/2019,31,12,8,22,18
4/13/2019,65,27,16,28,34
4/14/2019,47,34,17,33,45
4/15/2019,22,15,10,21,18
4/16/2019,39,30,14,29,41
4/17/2019,52,38,15,29,54
4/18/2019,51,16,18,13,18
4/19/2019,47,24,9,15,26
4/20/2019,73,38,18,34,40
4/21/2019,71,56,28,26,50
4/22/2019,31,15,10,19,18
4/23/2019,49,21,16,25,28
4/24/2019,48,24,16,24,19
4/25/2019,51,11,11,20,25
4/26/2019,43,10,7,16,25
4/27/2019,62,26,22,29,33
4/28/2019,57,32,19,34,42
4/29/2019,34,12,10,14,14
4/30/2019,29,16,17,17,16
5/1/2019,49,19,14,21,19
5/2/2019,27,25,23,22,20
5/3/2019,28,12,13,13,15
5/4/2019,61,25,23,20,28
5/5/2019,54,54,24,33,50
5/6/2019,37,14,13,12,13
5/7/2019,38,20,13,16,17
5/8/2019,54,32,20,22,30
5/9/2019,37,13,17,12,15
5/10/2019,39,22,12,13,14
5/11/2019,58,35,38,22,26
5/12/2019,68,22,39,23,35
5/13/2019,40,19,12,12,17
5/14/2019,43,21,17,13,27
5/15/2019,46,18,28,16,20
5/16/2019,41,25,13,18,28
5/17/2019,35,15,19,13,15
5/18/2019,82,29,25,22,38
5/19/2019,56,35,44,22,32
5/20/2019,32,11,12,18,15
5/21/2019,49,13,20,19,24
5/22/2019,45,27,27,21,22
5/23/2019,63,13,29,32,34
5/24/2019,34,14,22,19,17
5/25/2019,65,36,56,32,40
5/26/2019,89,23,40,32,28
5/27/2019,55,20,37,18,16
5/28/2019,39,19,27,22,18
5/29/2019,56,17,30,20,27
5/30/2019,43,12,16,23,38
