Day,New York Yankees: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States),Seattle Mariners: (United States)
11/1/2018,13,1,1,4,1
11/2/2018,13,1,1,3,1
11/3/2018,15,2,1,3,1
11/4/2018,14,2,1,3,1
11/5/2018,12,2,1,3,1
11/6/2018,14,1,1,3,2
11/7/2018,14,1,1,4,1
11/8/2018,14,2,1,4,3
11/9/2018,14,2,1,3,3
11/10/2018,15,2,1,3,3
11/11/2018,15,1,1,3,3
11/12/2018,14,1,1,3,2
11/13/2018,14,1,1,4,3
11/14/2018,15,1,1,2,3
11/15/2018,14,2,1,2,2
11/16/2018,11,1,1,2,2
11/17/2018,17,1,1,3,2
11/18/2018,15,1,1,3,2
11/19/2018,19,1,1,2,3
11/20/2018,25,1,2,3,4
11/21/2018,20,2,2,2,3
11/22/2018,19,2,1,3,2
11/23/2018,16,1,1,3,2
11/24/2018,17,1,1,2,2
11/25/2018,17,1,1,3,2
11/26/2018,16,1,1,3,2
11/27/2018,18,2,1,3,3
11/28/2018,19,1,1,3,2
11/29/2018,20,2,2,2,3
11/30/2018,22,1,1,2,7
12/1/2018,21,2,2,3,5
12/2/2018,20,1,1,3,6
12/3/2018,17,2,1,3,6
12/4/2018,23,1,1,3,5
12/5/2018,21,2,2,3,4
12/6/2018,22,2,2,3,3
12/7/2018,21,3,1,3,3
12/8/2018,24,2,1,3,3
12/9/2018,21,2,1,4,2
12/10/2018,22,2,2,3,3
12/11/2018,36,3,2,4,3
12/12/2018,35,3,2,4,3
12/13/2018,33,3,2,4,4
12/14/2018,25,2,2,3,3
12/15/2018,24,2,2,3,3
12/16/2018,22,2,1,3,2
12/17/2018,19,2,1,3,2
12/18/2018,20,2,1,3,2
12/19/2018,23,2,2,3,2
12/20/2018,25,2,1,3,2
12/21/2018,24,2,2,4,3
12/22/2018,23,3,1,4,3
12/23/2018,23,2,2,3,2
12/24/2018,18,2,1,3,2
12/25/2018,19,2,2,3,2
12/26/2018,19,2,1,3,2
12/27/2018,19,2,2,3,2
12/28/2018,17,2,2,3,2
12/29/2018,20,2,1,3,2
12/30/2018,18,2,2,3,2
12/31/2018,18,2,2,2,2
1/1/2019,22,2,1,3,4
1/2/2019,26,2,1,3,3
1/3/2019,24,2,1,3,2
1/4/2019,21,2,1,3,2
1/5/2019,21,2,1,3,2
1/6/2019,24,2,1,3,2
1/7/2019,22,2,1,3,2
1/8/2019,19,2,1,3,2
1/9/2019,20,2,1,3,2
1/10/2019,20,2,2,4,3
1/11/2019,26,2,2,3,2
1/12/2019,24,2,2,3,2
1/13/2019,20,2,2,3,2
1/14/2019,20,2,2,3,2
1/15/2019,20,2,2,3,2
1/16/2019,22,2,2,3,2
1/17/2019,22,2,2,3,2
1/18/2019,23,2,2,3,2
1/19/2019,21,2,2,3,2
1/20/2019,22,2,2,3,2
1/21/2019,22,2,2,3,2
1/22/2019,20,2,2,3,3
1/23/2019,20,2,2,4,3
1/24/2019,19,2,2,3,3
1/25/2019,17,2,2,3,3
1/26/2019,19,2,3,3,2
1/27/2019,18,2,3,3,2
1/28/2019,16,2,2,4,2
1/29/2019,17,2,2,3,2
1/30/2019,17,2,3,3,2
1/31/2019,17,2,3,3,2
2/1/2019,17,2,3,3,2
2/2/2019,16,2,3,3,2
2/3/2019,17,2,3,3,2
2/4/2019,17,2,3,4,2
2/5/2019,17,2,3,4,2
2/6/2019,17,2,3,4,2
2/7/2019,18,2,3,5,2
2/8/2019,19,2,3,4,2
2/9/2019,22,2,3,7,2
2/10/2019,24,2,2,6,2
2/11/2019,19,2,2,6,2
2/12/2019,20,3,3,6,2
2/13/2019,20,3,2,6,2
2/14/2019,18,2,2,5,2
2/15/2019,19,2,3,6,2
2/16/2019,21,2,3,8,2
2/17/2019,20,3,3,8,3
2/18/2019,18,3,4,7,3
2/19/2019,20,3,22,7,3
2/20/2019,18,3,14,7,3
2/21/2019,18,3,8,7,4
2/22/2019,18,3,10,7,4
2/23/2019,24,4,8,9,5
2/24/2019,23,5,7,8,4
2/25/2019,21,4,5,6,4
2/26/2019,20,3,4,6,3
2/27/2019,18,4,5,8,3
2/28/2019,19,3,4,10,3
3/1/2019,18,3,4,9,4
3/2/2019,21,4,5,15,4
3/3/2019,21,4,4,8,4
3/4/2019,16,3,3,8,3
3/5/2019,18,3,4,7,3
3/6/2019,18,4,4,6,3
3/7/2019,18,4,4,5,4
3/8/2019,17,4,4,6,4
3/9/2019,20,4,4,7,5
3/10/2019,21,4,5,6,4
3/11/2019,16,3,3,6,4
3/12/2019,19,4,3,5,4
3/13/2019,20,3,3,7,3
3/14/2019,18,3,3,6,4
3/15/2019,18,3,4,5,3
3/16/2019,20,4,3,6,4
3/17/2019,24,4,3,6,5
3/18/2019,18,4,4,6,5
3/19/2019,20,5,4,6,6
3/20/2019,21,4,5,6,14
3/21/2019,17,4,4,7,14
3/22/2019,17,4,3,6,7
3/23/2019,22,4,4,9,6
3/24/2019,23,5,5,9,6
3/25/2019,19,4,5,8,5
3/26/2019,19,6,6,12,7
3/27/2019,23,6,8,12,6
3/28/2019,100,15,18,19,16
3/29/2019,46,9,13,12,25
3/30/2019,64,11,21,18,25
3/31/2019,79,12,21,22,30
4/1/2019,44,22,10,10,14
4/2/2019,46,8,12,19,18
4/3/2019,51,8,13,18,18
4/4/2019,48,13,8,16,12
4/5/2019,34,12,9,19,19
4/6/2019,42,19,11,21,18
4/7/2019,76,17,11,20,18
4/8/2019,34,16,6,12,13
4/9/2019,42,8,9,17,20
4/10/2019,46,7,11,19,22
4/11/2019,40,12,7,11,34
4/12/2019,31,12,10,14,17
4/13/2019,65,15,13,34,34
4/14/2019,47,12,17,19,32
4/15/2019,22,6,7,9,10
4/16/2019,39,6,11,10,16
4/17/2019,52,12,10,15,17
4/18/2019,51,10,7,15,12
4/19/2019,47,10,10,11,17
4/20/2019,73,27,14,18,20
4/21/2019,71,25,16,18,24
4/22/2019,31,9,6,8,9
4/23/2019,49,15,6,8,8
4/24/2019,48,11,11,13,15
4/25/2019,51,13,7,9,8
4/26/2019,43,6,5,11,13
4/27/2019,62,10,11,22,20
4/28/2019,57,15,13,17,20
4/29/2019,34,6,6,10,8
4/30/2019,29,6,8,15,7
5/1/2019,49,12,8,15,14
5/2/2019,27,6,10,15,10
5/3/2019,28,7,8,9,7
5/4/2019,61,12,15,19,12
5/5/2019,54,18,22,16,11
5/6/2019,37,6,10,12,7
5/7/2019,38,6,11,9,8
5/8/2019,54,13,13,13,11
5/9/2019,37,7,7,14,11
5/10/2019,39,8,5,10,10
5/11/2019,58,16,8,16,13
5/12/2019,68,16,12,20,10
5/13/2019,40,7,5,9,5
5/14/2019,43,9,5,8,10
5/15/2019,46,12,8,14,10
5/16/2019,41,6,8,8,7
5/17/2019,35,9,10,7,10
5/18/2019,82,12,11,13,12
5/19/2019,56,19,14,16,18
5/20/2019,32,8,5,9,7
5/21/2019,49,7,8,12,8
5/22/2019,45,10,10,13,9
5/23/2019,63,16,6,16,5
5/24/2019,34,10,5,11,6
5/25/2019,65,17,10,20,10
5/26/2019,89,25,10,16,9
5/27/2019,55,15,9,10,7
5/28/2019,39,11,6,8,9
5/29/2019,56,13,11,10,10
5/30/2019,43,9,5,11,6
